Crossover	Uniform	Swap	Inversion	Shift
18981	34050	34761	33662	25197
18922	34131	33899	34301	27138
19134	31593	34251	33908	25573
18817	34101	33571	33624	25333
19033	32349	34648	33880	24770
18856	34107	32947	33999	26521
18922	32894	32252	33257	25032
18968	33892	35914	33454	22747
18817	32694	34311	33887	25470
18872	34451	32396	32175	25080
18883	33757	31752	33098	27055
18947	33449	34395	32379	24514
18961	34863	34566	33291	26953
19104	33613	35267	34104	25202
18846	34783	33684	34095	25112
18909	34017	34401	33301	26643
18852	33222	31628	34499	24616
18838	32965	33298	33746	23885
18936	32743	34608	33713	26440
18860	34628	32352	34957	26945
18909	33492	33762	34437	25239
18883	34020	34093	33745	26479
18812	32414	36481	34884	25330
18927	34722	34098	32676	23710
18909	35089	34576	35521	26640
18890	32383	34825	34889	24680
18865	34156	34681	33245	24558
18903	31556	34648	31177	25869
18904	33959	34121	34886	26955
18905	33044	34200	33930	25891
18944	32947	34037	33313	26595
18927	33208	34439	34734	23800
18922	34914	34954	35045	25754
18844	34038	33947	34397	25198
18904	34506	33120	33055	26370
18869	32691	33601	33252	25423
18895	35020	34693	33916	26634
18865	33321	34326	33251	25778
18879	33641	34764	33762	24841
18892	32273	34724	33274	24143
18927	32273	34490	33321	25319
18879	31977	33659	32879	26715
18922	33477	32463	33485	26106
18816	34083	33438	34708	25747
18933	34621	34838	34230	23884
18873	34646	32768	35757	24236
18922	35780	33324	33129	25015
18922	34605	33384	33855	24524
18922	34613	33460	34060	25230
18922	35493	32949	34687	23995
18907	34342	32201	33732	26988
18985	33959	33160	33240	24489
18922	34402	35851	34404	27283
18808	32712	34881	33287	26179
18895	34411	35447	33602	25640
18922	36090	33888	32457	25903
19119	34772	32546	34921	27604
18927	32465	33563	34099	25182
19099	31499	34004	34301	25268
18856	33706	34413	34309	26163
19052	35379	34212	34245	24620
18851	34392	34127	33688	24935
18922	34171	33868	34983	25505
19035	34165	34364	34654	26319
18895	33267	33327	33393	23657
18868	33173	35431	35605	28152
18883	33903	34796	34359	25291
19151	36901	33884	34654	25120
18904	33298	33991	33861	24112
19219	35711	34916	34792	22918
